date,output,investment,consumption,hours_worked,unemployment,labor_share,interest,inflation,productivity,TFP
1955-01-01,970.1248961901815,1295.5491930607307,1364.477063438933,1754.8974379194594,4.7333,467.9990047545554,0.335825,0.481,346.4954347464906,-0.45999999999999996
1955-04-01,971.3355573650196,1300.1757461167008,1364.909510569566,1755.9834290645167,4.4,468.16033100227276,0.375,0.414,346.78586481807054,-0.165
1955-07-01,972.2205455316836,1302.1739183202492,1364.8131365913973,1757.4183683101974,4.1,468.5431331340842,0.485,0.702,347.19353961674966,0.24000000000000007
1955-10-01,972.3343622989947,1303.7529627662473,1365.7128120199607,1758.3140749330432,4.2333,468.82513497980244,0.589175,0.977,346.8824877002741,-1.1599999999999997
1956-01-01,971.522840307542,1300.363029059223,1365.6810210745111,1757.1141145878485,4.0333,470.6652189933926,0.620825,1.005,345.6442855888134,-0.6474999999999999
1956-04-01,971.9384409659742,1298.131972398839,1365.7075161836467,1756.9614238254967,4.2,471.4822478780989,0.673325,0.596,346.09745856980163,0.9250000000000002
1956-07-01,971.3899659750128,1297.5834974078775,1365.5481467419818,1756.9384040670684,4.1333,471.743580644183,0.7025,1.242,346.10373820181724,0.3925000000000001
1956-10-01,972.5138096494574,1297.1629088395748,1366.0877628540036,1756.3412544263456,4.1333,471.7382176595019,0.731675,0.413,347.15937122838864,1.09
1957-01-01,972.7346854817254,1296.993920630277,1365.720977837373,1756.3515729019834,3.9333,470.8908386403888,0.733325,1.35,348.2961683464795,2.0250000000000004
1957-04-01,972.1005982940808,1295.57551569653,1365.674551498627,1754.9476816495091,4.1,471.67383939924684,0.75,0.701,347.92072552971825,3.5450000000000004
1957-07-01,972.6213236963688,1295.3057231481064,1366.5851409424806,1754.1354970020252,4.2333,471.07276822439655,0.808325,0.601,349.34118656499663,4.655
1957-10-01,971.1418644287294,1287.2665356318857,1367.032523561429,1752.4876497882485,4.9333,471.83381440934556,0.813325,0.06,349.6598466425408,6.882499999999999
1958-01-01,968.1343501555002,1279.929340783324,1366.2892569631758,1750.0647974581298,6.3,472.889111297785,0.465825,1.077,348.26544732384224,7.2075
1958-04-01,968.4086987500752,1277.5129440859068,1366.936045466849,1749.801974404555,7.3667,471.72838477385494,0.235,0.284,350.2158232975295,7.4675
1958-07-01,970.2594610156739,1283.373152071693,1367.6653006504337,1750.5475597274224,7.3333,471.64968686244214,0.330825,0.606,352.0667881638322,7.387500000000001
1958-10-01,972.1125994942153,1290.3337835438763,1367.812236601303,1751.15861930477,6.3667,469.924323722798,0.540825,0.468,353.74168249059653,7.485000000000001
1959-01-01,973.5542161686681,1294.6385814857617,1368.8707110446,1752.166782331208,5.8333,470.33671042416694,0.6425,0.268,353.81147022241987,6.562500000000002
1959-04-01,975.5741320381863,1300.2232312283038,1369.926299286938,1753.1634434672692,5.1,469.77402514693534,0.770825,0.146,354.9904701823348,6.665000000000002
1959-07-01,974.9520189238701,1295.6323432872632,1370.6516560309578,1752.0399846184798,5.2667,470.17522838343353,0.894175,0.372,354.7920545660617,7.392500000000002
1959-10-01,974.9053499229063,1295.1799942167381,1371.556468994128,1752.3466390039675,5.6,470.80516312887346,0.9975,0.393,354.61919865600555,8.360000000000003
1960-01-01,976.3075398819384,1302.8834809586435,1371.0465548084821,1750.2773876161843,5.1333,470.5259835002104,0.983325,0.409,356.91100719769463,9.935000000000002
1960-04-01,975.5741320381863,1295.8487763320181,1372.035677592918,1752.4233996389373,5.2333,472.3059882622657,0.924175,0.264,355.5490908429161,9.837500000000002
1960-07-01,975.4000978835746,1294.0353611998387,1371.4814148433325,1752.011215637041,5.5333,472.2259647844431,0.734175,0.361,355.8372056034154,10.177500000000002
1960-10-01,973.7314897481544,1284.1901575947618,1371.88639655583,1750.47760166695,6.2667,473.56632174646745,0.574175,0.308,354.6105480122481,11.030000000000003
