horizon,median,pctl_84,pctl_16,variable,model
39,-0.2135428532120206,0.037571509432294675,-0.5118223416984317,investment,bayesian_fd
40,-0.21241074450953037,0.03000931482668484,-0.5130497153197446,investment,bayesian_fd
1,-0.1165099847066578,-0.08168661021117914,-0.15306385985387302,consumption,bayesian_fd
2,-0.17323953049690208,-0.13425418791411253,-0.21128302712487068,consumption,bayesian_fd
3,-0.19755223271102623,-0.15066869156448595,-0.24100988289711636,consumption,bayesian_fd
4,-0.20642960778949349,-0.1492321871288112,-0.2610478603052554,consumption,bayesian_fd
5,-0.2062392127185551,-0.13718019677662743,-0.27057022546271803,consumption,bayesian_fd
6,-0.19672944236443357,-0.12267077898562478,-0.2714832007650129,consumption,bayesian_fd
7,-0.18349560307983864,-0.09994479397552568,-0.26593788250716904,consumption,bayesian_fd
8,-0.1659598293016419,-0.075926223128254,-0.25597273283905186,consumption,bayesian_fd
9,-0.14528510710917458,-0.0461594349201794,-0.2462185576278138,consumption,bayesian_fd
10,-0.12448070840155342,-0.016847846495005436,-0.2320719114442371,consumption,bayesian_fd
11,-0.10338037007008732,0.011393167932580293,-0.21680682451616629,consumption,bayesian_fd
12,-0.0830364352610613,0.043928111209880244,-0.202098608007176,consumption,bayesian_fd
13,-0.06657051112469939,0.06748509167627417,-0.18797094154834673,consumption,bayesian_fd
14,-0.047739452393339744,0.09459948111673612,-0.17545895311377266,consumption,bayesian_fd
15,-0.03218457821906236,0.11690844572449147,-0.165474829861482,consumption,bayesian_fd
16,-0.02030702885865432,0.13381634938997922,-0.15839563599430093,consumption,bayesian_fd
17,-0.008361168202053713,0.1506277627246076,-0.15531968856171052,consumption,bayesian_fd
18,-0.001862052508309786,0.1603696523501529,-0.1504901857252968,consumption,bayesian_fd
19,0.0033570410128864825,0.1654615145905795,-0.14867327728424704,consumption,bayesian_fd
20,0.007957864716340204,0.16855493600103563,-0.14813273297158153,consumption,bayesian_fd
21,0.0075173088100222805,0.17240018513589256,-0.14912093312077768,consumption,bayesian_fd
22,0.006923589815478734,0.17353323377567895,-0.14994686793557244,consumption,bayesian_fd
23,0.006870352196096054,0.17406448420534265,-0.15311288074817522,consumption,bayesian_fd
24,0.00357129322866144,0.16854240964592412,-0.15915129460831015,consumption,bayesian_fd
25,0.0010344757234429704,0.16422346887194877,-0.16391560435087293,consumption,bayesian_fd
26,-0.0018147922505037852,0.15705405342249792,-0.17004033623366865,consumption,bayesian_fd
27,-0.008389490956018564,0.15036541454189306,-0.1770446903150638,consumption,bayesian_fd
28,-0.013170525559163208,0.1448862673170131,-0.18378254833547086,consumption,bayesian_fd
29,-0.018415164333411276,0.13927367765710125,-0.1936189562382984,consumption,bayesian_fd
30,-0.023994678896231712,0.13484815447130835,-0.19843367446373894,consumption,bayesian_fd
31,-0.03043451602887879,0.12808018912949937,-0.20957251592783344,consumption,bayesian_fd
32,-0.03814264083473225,0.12344833694745788,-0.21566865845749655,consumption,bayesian_fd
33,-0.04817599309563469,0.11641524682041887,-0.22138888480356347,consumption,bayesian_fd
34,-0.05381904729262895,0.10710547080168195,-0.22860068493808172,consumption,bayesian_fd
35,-0.05957698820218145,0.10086582350153617,-0.23501366964354578,consumption,bayesian_fd
36,-0.06474661602016182,0.0912792624452339,-0.2398691179050912,consumption,bayesian_fd
37,-0.06822967425569904,0.08502582922148916,-0.2432868084443858,consumption,bayesian_fd
38,-0.07185522149038949,0.07971963749268954,-0.24919778391748762,consumption,bayesian_fd
39,-0.07615103628871037,0.07747249355241013,-0.25560277304016005,consumption,bayesian_fd
40,-0.08113802949199903,0.07414915243517825,-0.2595863045959603,consumption,bayesian_fd
1,-0.4455349253859186,-0.3986132276905131,-0.4912572891784478,hours_worked,bayesian_fd
2,-0.4747365709807953,-0.4298193379172104,-0.5197335455632188,hours_worked,bayesian_fd
3,-0.4789695223260684,-0.4190057308754983,-0.536412320272657,hours_worked,bayesian_fd
4,-0.4605242424896888,-0.3891302693313961,-0.5327776353792101,hours_worked,bayesian_fd
5,-0.4238163147210874,-0.3441109147752603,-0.5148813451117369,hours_worked,bayesian_fd
6,-0.38453316773705526,-0.29242071857067964,-0.48627009682800537,hours_worked,bayesian_fd
7,-0.33826899216419726,-0.237018667316416,-0.44798146842679554,hours_worked,bayesian_fd
8,-0.28892069576255447,-0.18142166219990322,-0.40842057124952275,hours_worked,bayesian_fd
9,-0.23897018122817804,-0.12102431648593598,-0.3635014832989397,hours_worked,bayesian_fd
10,-0.19014317311493684,-0.06694000549744794,-0.31834579757729786,hours_worked,bayesian_fd
11,-0.14099904827321097,-0.01796290659751565,-0.27020190975367936,hours_worked,bayesian_fd
12,-0.09682718802267093,0.030189156211760132,-0.22936029967312793,hours_worked,bayesian_fd
13,-0.05532958500077448,0.073819464599974835,-0.19012271496002134,hours_worked,bayesian_fd
14,-0.01934909228545149,0.10936748128743681,-0.15414142380786477,hours_worked,bayesian_fd
15,0.010838983377602045,0.14299143814200768,-0.12412654422984419,hours_worked,bayesian_fd
16,0.03575039452471143,0.17127279121416172,-0.09585506623971249,hours_worked,bayesian_fd
17,0.0561031571341975,0.19774744814672712,-0.07411447166385084,hours_worked,bayesian_fd
18,0.07256467100496544,0.2119174043511833,-0.0581360067474188,hours_worked,bayesian_fd
19,0.08165289131287445,0.22199898632808718,-0.04729877297712269,hours_worked,bayesian_fd
20,0.08709956184066464,0.22904152536869482,-0.04244157497170206,hours_worked,bayesian_fd
21,0.08742991835565349,0.2280651691305478,-0.03465429749274919,hours_worked,bayesian_fd
22,0.08643331807795931,0.22624017619625175,-0.035427174800219015,hours_worked,bayesian_fd
23,0.0823691982382968,0.21772910337203577,-0.037616034149324795,hours_worked,bayesian_fd
24,0.0748098035965193,0.21155137268787988,-0.0413161051152934,hours_worked,bayesian_fd
25,0.06917567319099457,0.19921561274259603,-0.046359080948672686,hours_worked,bayesian_fd
26,0.05962407190656595,0.18665413514446086,-0.0539275498169713,hours_worked,bayesian_fd
27,0.04951599311399105,0.1707805678618405,-0.06190117495513438,hours_worked,bayesian_fd
28,0.040902619268343085,0.1583776857927156,-0.067900939533202,hours_worked,bayesian_fd
29,0.029674588385625485,0.14225463448689116,-0.07556513393981797,hours_worked,bayesian_fd
30,0.019219328807160034,0.13150231771778617,-0.08545658558102699,hours_worked,bayesian_fd
31,0.00684515747779168,0.11920506458004071,-0.09596210912817174,hours_worked,bayesian_fd
32,-0.0037992748530989934,0.10635017067120726,-0.10714875745993424,hours_worked,bayesian_fd
33,-0.01341704301479211,0.0935922109449047,-0.11509547762281258,hours_worked,bayesian_fd
34,-0.02272724633740543,0.08163293835291877,-0.12349643754884401,hours_worked,bayesian_fd
